Mike Wallis	Good for Nothing	2011
Franca González	Miro. Traces of Oblivion	2018
Clayton Miller	The Redemption of Henry Myers	2014
Brett Haley	The Hero	2017
Paul Kiener	Cataract Gold	2017
Edgardo González Amer	Yo Te Gusto?	2019
Cristobal Araus Lobos	Netherwood	2011
Brett Kelly	Jesse James: Lawman	2015
Brett Kelly	Hell at My Heels	2011
Pablo Fendrik	El Ardor	2014
Jared Moshe	Dead Man's Burden	2012
Jared Moshe	The Ballad of Lefty Brown	2017
Phil Gorn	Branded	2017
Ti West	In a Valley of Violence	2016
Henrique Couto	Calamity Jane's Revenge	2015
Asad Farr	Dream Wagon	2017
Thadd Turner	Clay Walker: Jesse James	2012
Jerry Thompson	Popovich and the Voice of the Fabled American West	2014
Mike Thompson	Popovich and the Voice of the Fabled American West	2014
Josh Carter	Tales from Dell City, Texas	2011
Chris Eska	The Retrieval	2013
Rebecca Richman Cohen	Code of the West	2012
Jesse Low	Wild Faith	2018
Hasan Karci	Belalilar	2017
Robert Conway	Eminence Hill	2019
Matias Meyer	Los últimos cristeros	2011
Drury Gunn Carr	Two Rivers	2015
Doug Hawes-Davis	The Return	2012
Doug Hawes-Davis	Two Rivers	2015
Jared Zabel	Teller's Camp	2021
Lee Lynch	The Murder of Hi Good	2012
Aaron Burk	Cowboys & Indians	2011
Alveraz Ricardez	Gunfight at Yuma	2012
Chico Pereira	Donkeyote	2017
Michael Berry	Frontera	2014
Timothy Woodward Jr.	The Outsider	2019
Timothy Woodward Jr.	Hickok	2017
Timothy Woodward Jr.	Traded	2016
Timothy Woodward Jr.	4Got10	2015
Robert Greene	Bisbee '17	2018
Thomas Russell	For Robbing the Dead	2011
Wayne Shipley	Day of the Gun	2013
Brice Emiel	West End	2017
Ethan S. Knightchilde	Ghosts of the West	2012
James Kleinert	Centaur	2016
Brian Liu	Only Roundup Remains	2018
Nickolaus Swedlund	Sanctified	2021
Doug McMains	Horse	2013
Raya Martin	La última película	2013
Chloé Zhao	The Rider	2017
Paul Bonsignore	Prospectors The Forgiven	2019
Rodrigo Areias	Estrada de Palha	2012
Dan Garcia	Wild Bill Hickok: Swift Justice	2016
Daniel Levitch	Swine	2012
Christopher R. Mihm	Guns of the Apocalypse	2018
Elia Petridis	The Man Who Shook the Hand of Vicente Fernandez	2012
Chris Power	Bloodslinger	2020
Sergey Kuznetsov	Sem pyanits	2019
Terry Miles	Dawn Rider	2012
Terry Miles	Stagecoach: The Texas Jack Story	2016
Terry Miles	Lonesome Dove Church	2014
Marcelo Galvão	O Matador	2017
Mark Landre Gould	Gone Are the Days	2018
James Overton	The Name on the Bullet	2012
Noah Miller	Sweetwater	2013
Joe Dietsch	Happy Hunting	2017
Joaquin Montalvan	Cannibal Corpse Killers	2017
Kenneth Furrow	Two Rivers	2015
Christopher Forbes	American Confederate	2019
Christopher Forbes	The Last Days of Billy the Kid	2017
Christopher Forbes	The Last Gunslinger	2017
Christopher Forbes	Jesse James vs. The Black Train	2018
Christopher Forbes	Cheat the Hangman	2018
Christopher Forbes	Cole Younger & The Black Train	2012
Christopher Forbes	Billy the Kid	2016
Christopher Forbes	Vengeance Without Mercy	2013
Christopher Forbes	Billy the Kid: Showdown in Lincoln County	2017
Christopher Forbes	Perfect Disguise	2015
Christopher Forbes	A Cold Day in Hell	2011
Christopher Forbes	Wyatt Earp Shoots First	2019
Mark Peranson	La última película	2013
David Perrault	L'état sauvage	2019
Daniel Garcia	Recommended by Enrique	2014
Lana Read	Western World	2017
Michael Bendeck	El Paletero	2016
D.W. Phillips	Say It with Bullets	2011
Marc Price	A Fistful of Lead	2018
Patrick Ball	C- Bar, II	2019
Patrick Ball	C-Bar	2015
Robert Scott Wildes	Poor Boy	2016
Matthew Crossett	Ice Cowboys	2015
Victoria Wharfe McIntyre	The Flood	2020
Andrew A Wilkinson	Birth of a Legend: Billy the Kid & The Lincoln County War	2011
Ivan Kavanagh	Never Grow Old	2019
Jakob Montrasio	The Way of the Spur	2012
Jeff Morrison	Someday	2020
Brett Fallentine	Fire on the Hill	2018
Daniel Barber	The Keeping Room	2014
Jon Soldehed	Rabbit on the Prairie	2011
Andrea B. Scott	Florence, Arizona	2014
Peter Leon	Copper Creek Genesis	2015
Brian Lilla	Patagonia Rising	2011
Andrew Renzi	Fishtail	2014
Michael Fredianelli	Gold Mountain	2016
Michael Fredianelli	The Scarlet Worm	2011
Michael Fredianelli	The Rogues of Flat Oak	2018
Logan Miller	Sweetwater	2013
David Edwin Read	Jail Wagon	2014
Joseph G. Quinn	Occupy Los Angeles	2012
Joseph G. Quinn	Burning Man: Bable	2014
Mike Murehead	Silent Stranger	2011
Adam Hulin	Hatchet County	2012
Mark Hangebruch	Durch seine Venen fließt Blei	2017
Nicolás Molina	Beaverland	2014
Rene Perez	Prey for Death	2015
Rene Perez	Once Upon a Time in Deadwood	2019
Rene Perez	From Hell to the Wild West	2017
Frank Powers	Brothers James: Retribution	2019
Damon McCarthy	Dadda: Donald and Daisy Duck Adventure	2019
Tyler Russell	Texas Cotton	2018
Turner Ross	Western	2015
Bill Ross IV	Western	2015
Jessica Oreck	Aatsinki: The Story of Arctic Cowboys	2013
Irina Patkanian	Socrates of Kamchatka	2017
Edgar Muñiz	The Never Daunted	2013
Joe Morford	Muerte Salvaje	2014
J.L. Topkis	In Searching	2018
Paul Blair	Once upon a Time Out in the West	2012
Michael Flores	Western X	2016
Michael Flores	Taste of Fear, Savage Mercy	2020
John Maclean	Slow West	2015
William Booth	Jail Wagon	2014
Abraham Dieckman	Trash and Progress	2012
John Pocino	Destiny	2018
Katarzyna Kochany	Cowboy Church	2015
Sylvia Johnson	Roaming Wild	2014
Arlette Thomas-Fletcher	The Lonesome Trail	2019
Josh Corbin	The Elm Tree	2013
Sean Tracy	Black Hat	2011
Richard Gray	Murder at Emigrant Gulch	2021
Leif Sandqvist	Peggy Ray	2017
Leif Sandqvist	Danny Lou & Donna Starr	2019
Conor Allyn	No Man's Land	2020
Dan Glaser	Valley of Bones	2017
Patrick Hendrickson	Dawn of Conviction	2012
Matthew Petterson	Dawn of Conviction	2012
Dennis Donovan	Dawn of Conviction	2012
Kyle Moore	To Hell and Gone	2019
Michael Matthews	Five Fingers for Marseilles	2017
Iwan Benneyworth	Red Rider	2014
Gustavo Cervantes	The Brick House	2013
Zef Cota	The Trouble	2018
Travis Mills	Blood Country III: The Natchez Trace	2021
Travis Mills	Heart of the Gun	2021
Travis Mills	Turn and Burn	2021
Travis Mills	A Guide to Gunfighters of the Wild West	2021
Travis Mills	The Woman Who Robbed the Stagecoach	2021
Travis Mills	Blood Country II: The Wilderness Road	2021
Travis Mills	She was the Deputy's Wife	2021
Steve Russell	West of Thunder	2012
Iván Gaona	Pariente	2016
Ml Lincoln	Wrenched	2014
Kane Senes	Echoes of War	2015
Gaspard Kuentz	Kings of The Wind & Electric Queens	2014
Cédric Dupire	Kings of The Wind & Electric Queens	2014
Scott Hester	The Preacher and the Gun	2013
Scott Hester	Shelby Shack	2019
Scott Hester	STREAMS in the DESERT Discovering God's Call	2015
Scott Hester	Billy the Kid: The Beginning	2017
Vito Colomba	Colomba Legend	2019
Brent Christy	The Warrant	2020
Brent Christy	Legal Action	2018
Brent Christy	The Legend of 5 Mile Cave	2019
Patrick Ryan	Darkness on the Edge of Town	2014
Daniel Hinerfeld	Wild Things	2012
Paul Wolverton	Retribution of the Wolf	2016
Dominic López	3 Tickets to Paradise	2018
Elian Aguilar	Sangre Negra: Aldo Knodell Debe Morir	2013
Jenna Cato Bass	Flatland	2019
Jody Marriott Bar-Lev	West of Thunder	2012
Kyle Smith	Ashby '80	2020
Lexie Findarle Trivundza	The West and the Ruthless	2017
Nick Trivundza	The West and the Ruthless	2017
Reynaldo Garza	Anywhere, TX	2011
Tye Wilson	To Kill a King: The True Testament of the Gentleman Jasper Price	2015
Roger Slagle	The Secret of Wilson Hill	2015
Susan Sember	The Gathering	2011
Aaron Huggett	Black Gold	2018
Joe O'Neil	Hate Horses	2017
Antonio Luco	Beaverland	2014
Michael Steves	West of Hell	2018
Matthew Smaglik	Cooper	2012
Abelardo de Carvalho	Faroeste	2015
Felix Seuffert	Port Nolloth: Between a Rock and a Hard Place	2012
Karan Butani	Bull BulBul Bandook	2013
Robert Cammisa	Dawn of Conviction	2012
Damian Rodriguez	El coyote	2012
Gabriel Schmidt	Revenge	2013
Paul Krizan	Out of the Wild	2017
Sean Jackson	Bubblegum & Broken Fingers	2011
Anzi Pan	Shuang cheng ji zhong ji	2012
Rania Attieh	Recommended by Enrique	2014
Christophe Karabache	ultravoKal	2018
Ezra Gentle	Lone Man's Land	2015
Luke J. Hagan	All in the Valley	2014
Axel de Ville de Goyet	Lone Wolf	2012
James Ryan Gary	Devil's Crossing	2011
Rocky Hessler	Highclimber	2011
Bram Mervillie	Miles Away	2011
Daniel Dumitrescu	Miles Away	2011
Gadam	Hunter's Moon	2016
Titus Simoens	Miles Away	2011
G. Logan Dellinger	Sudsy Slim Rides Again	2018
Nicolás Galvagno	Pistolero	2019
James Miller	Livin' by the Gun	2011
Sofie Benoot	Desert Haze	2014
Jeff Rowles	Suit of Lights	2014
Helmut Brandl	Und sie kehrten niemals wieder	2013
Mark Tarrant	Blood and Spurs	2014
Tyler Zurcher	Jimmy Attitude: Buffalo	2020
Nick Lang	The Trail to Oregon!	2015
Micah Lyons	No Man's Land	2019
Tyler Smith	Above Snakes	2020
Mark Stephens	One Step Behind	2015
Luke Henderson	Ravenwood	2012
David Keeling	A Fistful of Diamonds	2011
Sean Hunt	The White Rider - A Sean Hunt Film	2017
James T. Warbington	The Gorda	2015
Pere Marzo	Goodbye Ringo	2018
Isaac Piche	3 Tickets to Paradise	2018
Alex Dawson	Wild Horse, Wild Ride	2011
Joe Pinkerton	Tombstones of the Blind Dead	2016
Nia DaCosta	Little Woods	2018
Kenny Wheeler	South of Black Drink Crier	2011
Maciej Bochniak	Magnezja	2020
Johnee Gange	Hello Stranger	2011
Juan Diego Escobar Alzate	Luz	2019
John P. Gibson	Revelation Trail	2013
Justin Lee	Badland	2019
Justin Lee	A Reckoning	2018
Justin Lee	Any Bullet Will Do	2018
Sampo Laine	Danse Macabre	2012
Louie Gibson	Happy Hunting	2017
David M. Gutel	Bloodhound Law	2019
Roderick MacKay	The Furnace	2020
Mano Anandason	2 Pengo 2 Rengo	2013
Jeymes Samuel	They Die by Dawn	2013
Jeymes Samuel	The Harder They Fall	2019
Michael Johnson	Bald Knobber	2017
Nicholas Barton	Wichita	2014
Nicholas Barton	Deadman Standing	2018
Nicholas Barton	Death Alley	2020
